country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mauritius,,,17.5,,,,,,,,,,20.6,,,,,,,,,,,28.1,14.2,,,41.9,,43.3,34.6,40.8,41.6,42.3,43.2,38.8,,,,,38.5,36.8,38.4,41.8,40.4,41.8,41.8,40.8,41.7,42.1,43.6,42.6,42.9,44.8,45,46.2,45.1,45.4,45.2,
Mexico,19.8,,,,,,,,,,17.9,,,,,12,,,24,25,30.1,,,,,,,,23.1,,21.6,35.7,36.6,38.8,38.1,39.5,39.6,41.7,41.4,40.6,41,40.4,38.1,38.8,39.9,40.9,42.1,42.4,42.3,42.8,42.5,42.8,43.8,43.9,43,43.3,43.4,42.9,43.5,44.7
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6,,,,,,,,,,,,,54.2,49.1,47.9,47.5,43,42.1,41.5,39.7,38.6,39.3,38.2,38.6,38.6,41.4,40.1,39.4,34.4,38.2
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2,,55.5,,36.1,56,57.5,56.3,64.3,55.7,54.1,53.8,54.3,55,55.7,54,54.5,54,52.9,54,52.2,53.4
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,43.9,43.3,42.2,41.6,43.6,43.7,46.2,47.6,47.6,47.5,48.1,49.9
Morocco,8.79,,,,,,,,,,,12.6,,,,,,,,,,,16.9,,,,,,,,25.1,,,,19.6,30.5,,,22.3,30.3,29,25.5,24.9,27.3,28.4,27.9,19.4,28.3,26.6,19.3,25.9,25.5,24.7,25.1,25.2,24.8,23.7,,,
Mozambique,,,,,,,,,,,32,,,,,,,,,,86.5,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,78.1,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,38.9,,,,,,,24.9,,,,,,,,,,,,,,,,,,,,,,,,,51.6,,47.7,48.5,46
Namibia,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,48.2,,,46.9,,,47.5,49.3,,,40.8,,,,49.9,,,,53.1,58.6,57.2,,55.6,,55.4,
Nauru,,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.6,,,,,,,,,49.3,,56.2,,,,,,
Nepal,,59.6,,,,,,,,,,34.3,,,,,,,,,,45.2,,,,,,,,,,48.7,,,,,66.5,,,81.9,,,,94,,,,,79.6,,,,,77.5,79.7,79.8,,26.3,,
Netherlands,22.6,,,,,,,,,,,,,,,,,27.9,,29.4,29.1,30.6,33.4,34,,34.8,35.9,41.5,41.8,42.3,43.9,44.8,46.1,46.6,47.7,48.3,49.3,50.6,51.5,53,54.1,55.1,55.9,56.5,56.9,55.6,56.1,57.4,58.3,58.8,58.7,58.8,59.3,59.2,58.5,58.8,58.7,58.8,59.1,59.8
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6,54.8,54.2,53,54,54.3,54,53.9,55.1,55.8,57.2,57.1,57,57.3,57.4,58.3,59,59.3,59.8,60.8,61.3,61.7,62,61.9,61.6,62.1,62.1,62.5,63.4,63.4,64.5,65.4,65.7,65.7
Nicaragua,,,,22.1,,,,,,,,20.6,,,,,,31.9,,,13.3,,,,,,,,,38.2,39.8,39.7,,,,33.4,33.7,,34.3,34.6,44.5,22.4,,46.4,44.6,44.8,43.5,42.2,43.7,,,,66.7,64.8,48,,,,,
Niger,6.11,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,21.8,,,,,,,,,,,,,39.3,,,,39,,,,,,69.2,20.3,,63,,,15.1,,
Nigeria,,,,27.7,,,,,,,,,,,,,,,,,,,,36.7,,,37.2,,,,,40.3,,,,,,,,,,,,,48.5,,,,,,,56.9,,51.8,,,,,,49.3
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,,38,,43,41.2,42.2,40.8,41.7,45.5,41.5,43.4,,,41.9,43,42.7,42.6,42.9,43.5,43,44.5,44,43.5,42.3,42.7,43,44.9
Norway,23.8,,,,,,,,,,27.7,,,,,,,,,,55.2,56.4,56.5,57.6,58.1,59.5,62.3,63.8,63.7,62.4,62.4,62.3,62.2,62.3,62.7,64.5,66.1,67.8,69.2,69.2,69.2,69.5,70.5,69.1,69.1,68.5,68.3,69.4,70.6,69.7,68.6,68.6,68.4,68.3,62.8,62.2,62.1,61.4,61.8,62.1
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,24.6,,,,,24.9,,,,,20.5,,,29.8,,35.6,
Pakistan,,6.14,,,,,,,,,,,5.44,,,,7.08,7.08,7.04,7.05,7.04,12.6,12.6,11.3,11.3,9.16,9.6,,11.3,23.1,11.3,14,14,14.3,14.7,12.7,,15,15.3,,16.3,,16.2,,18,,19.1,19.5,20,21,22.1,22.4,,22.9,23.2,24.2,,,21.9,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,,,,,49,,,,,58.1,,,,,,,,,55.6,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,9.94,9.95,12.4,12.7,12.6,13.3,14.8,14.5,14.4,13.8,15.4,15.9,15.6,16.3,17.7,17.1,17.3,17.3,18
Panama,24.7,,,,,,,,,,30.3,,,,,,,,,34.9,29.1,,,33.5,34.1,37.4,34.7,,35.9,37.9,32.2,38.2,,40.6,41.4,42.5,,43.1,42.5,43.2,40.9,39.4,45.9,46.4,46.5,47.3,45.6,46.2,47.3,48.3,45.8,44.7,47.1,48.3,48.5,49.5,49.6,49.7,51.4,53.3
Papua New Guinea,,,,,,,92,,,,,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,,,,,,,,,,47.7,,,,,,,,,
Paraguay,,,24.8,,,,,,,,,,22.9,,,,,,,,,,21.9,,,,,,,53.4,50.8,48.2,50.7,52.9,52.8,63.2,57.7,,48.5,48.4,53.5,53.5,51.9,51.7,57,55.8,51.2,54.3,53.9,55.2,53,54.7,59.9,57.9,54.7,55.1,56.5,56.9,59.5,60.4
Peru,,22.4,,,,,,,,,,,20,,,,,,,31.2,31.3,25.3,31.5,,39.8,,49.8,48.4,,48.2,47.8,43.5,43.8,29.8,46.5,49.5,,54.6,55.5,58.1,54,59,61.8,63.7,65.4,63.2,66.3,69.2,69.5,69.9,71.1,70.2,69.8,69.1,68.4,67.1,67.2,68.8,69.1,69.5
Philippines,27.2,,,,,,,,,,34,,,,,24.5,26.1,,46.8,,13.7,,,50.1,,48,,48.3,47.9,47.4,47.5,47,47.8,47.8,47.3,49,49,48.9,49.3,50,48.4,47.6,51.7,46.9,46.6,47.3,47.5,47.5,46.9,47.7,48,48.8,48.4,48.2,49,48.6,48.2,44.9,45.4,46.4
Poland,58.6,,,,,,,,,,62,,,,,,,,58.7,,,,,,,,,,57,,,,62.6,62.1,62.1,61,60.5,50,49.7,49.4,50.1,50.3,49,48,47.4,47.7,46.6,46.3,46.6,47.3,47.6,47.8,48.1,48.2,48.5,48.4,48.3,48.4,48.5,48.2
Portugal,17,,,,,,,,,,24.6,,,,,,,,44.7,46.9,46.3,47,46.5,,47.3,46.2,45.5,46.3,46.6,47.2,47.5,49.9,49.5,49.5,49.6,49.5,49.3,49.4,51.9,52.3,52.7,53.4,54.1,54.8,54.3,55.3,55.5,56,55.8,55.7,55.9,54.6,54.7,54.1,53.8,53.8,53.5,54.1,54.5,54.8
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,33.4,,,,,,,40.6,,,49.4,,49.1,52.2,52.1,52.4,48.6,55,57.9,60.4,58.4,57.9,
Romania,,,,,,,63.9,,,,,,,,,,,59.7,,,,,,,,,,,,,,,51.6,,,60.5,57.4,59.7,58.6,58.7,58.2,57.1,51.3,49.1,48.7,46.9,47.8,47.5,46.8,46.6,46.2,46.1,46.2,46,46.2,45.2,44.4,45.9,45.6,45.6
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,64.1,61.6,59.1,58.3,57.2,55.9,55.1,59.7,60,58.9,60.1,60,60.8,61.5,62,62.4,62.2,62.5,62.3,63,63.3,63,63.3,63.4,63.8,55.7,55.9,55.3
Rwanda,,,,,,,,,,,,,,,,,,,92.3,,,,,,,,,,,48,,,,,,,85.1,,,,87.2,,77.4,,,84.6,,,,,,,71.8,,83.7,,,44.3,44.2,43.8
Samoa,,9.54,,,,,22.7,,,,,14.8,,,,,16.5,,,,,14.6,,,,,,,,,,40.2,,,,,,,,,,32.2,,,,,33.4,,,,,23.3,24.4,,24.4,,,31.5,,
San Marino,,,,,,,,,,,,,,,,,40.4,,,,,,,,,49.4,50.5,50.9,51.4,51,51.5,52.1,53.2,54.2,,54.6,55.4,56,56.5,57.3,,54.2,54.5,53.8,,,,,,,,,,,,60,66.1,,,87.5
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,36.9,,,,,,,,,,36.8,,,,,,,,,33.5,,,,,,28.8,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,16.8,15.9,15.5,15.5,,,,18.6,18.1,17.8,17.4,,19.8,20.3,20.1,20.4,21.4,22.2,20.1,21.9,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,,,54.5,,,,,,,,,,,,,,,33.9,,,,,44.3,,,,34.5,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,44.6,42.5,42.8,43.4,41.4,39,38,38.3,40.4,43.8,43.5,45.4,46.3,46.7,47.1
Seychelles,54.2,,,,,,,,,,,41.8,,,,,,51,,,,,,,,,,,,,,,,,59.1,,,,,,,,,,,,,,,,,61.9,,,66.9,67.2,66.2,66.9,66.4,63.3
Sierra Leone,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7,65.9,,,,,,,,,,56.3,,,,,
Singapore,,,,,,,,,,,29.5,,,,,34.9,36.4,37.9,40.1,41.9,44.3,,45.2,45.7,45.9,44.9,45.6,47,47.8,48.4,,37.9,42.5,41.4,41.7,40.1,41,40.1,39.1,,,,,,,52,,,55.6,55.2,56.5,57,57.7,58.1,58.6,60.4,60.4,59.8,60.2,61.1
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7,,55.1,51.4,51.5,52.3,51.8,51.2,51.7,52.3,52.9,52.4,52.7,52.6,51.3,50.7,50.6,51,50.3,50.8,50.1,50.7,51,51.1,52,52.6,52.7,52.3,52.3
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,,46.8,51.3,52.1,51.2,52.4,53.4,51.5,51.4,51.1,51.9,50.2,52.8,52.9,53.3,53.3,53.5,53.6,53.3,52.3,52.2,51.6,52.2,51.9,52,53.8,53.8,53.2
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2,,,,83.9,,,,,,
South Africa,16.6,,,,,,,,,,24.1,,,,,,,,,,22.8,,,,,26.7,,,,,,29.5,,,38.9,,36.6,33.8,37.1,43.9,42.6,42.2,40.8,39.9,38,39.9,40.5,40.5,47.9,46.3,44.6,45,45.2,46.2,46.4,47.6,47.6,48.5,48.4,48.5
South Korea,27.9,,,,,,31.4,,,,38.4,,,,,46.7,,,,28.9,42.8,42.3,43.4,42.8,40.7,41.9,43.1,45,45,46.6,47,47.1,47.1,47.1,47.8,48.4,48.9,49.8,47.1,47.6,48.8,49.4,49.9,49.1,50.1,50.3,50.5,50.5,50.2,49.3,49.6,49.8,50.1,50.3,51.5,52.4,52.7,53.2,53.3,53.9
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6,,,,,,,,,,,
Spain,17.7,,,,,,,,,,17.9,,,,,,,27.9,27.7,27.6,27.2,26.8,27.2,27.8,27.7,27.8,27.7,30.3,31.7,32,32.6,32.6,34.6,35.1,36.3,36.8,37.3,38.1,38.4,39.1,40.7,39.6,42.1,43.6,45,46.5,47.9,49,50.4,51.4,52.2,52.8,53.4,53.4,53.1,53.1,53,52.6,52.4,52.7
Sri Lanka,,,,23.6,,,,,,,13.1,30.7,,,,,,,,,,20.8,,,,37.4,36.2,,,,45.3,,36.9,37.9,38,35.8,35.5,35.3,41.4,37.6,36.5,31.9,33.6,35.6,34.7,34.5,35.5,37,34.3,35.2,34.3,34.2,33,35.3,34.5,35.8,35.8,36.5,33.5,34.5
St. Kitts and Nevis,25.7,,,,,,,,,,20.9,,,,,,,,,,48.5,,,,,,,,,,,57.1,,,,,,,,,,64.4,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,,61.2,59.6,58.2,58.1,59.7,59.5,62,62,53.6,,62.3,61.8,60.8,61.4,59.3,52.4,57.5,,61.8,64.6,63.4,,,,63.8,63.9,64.4
St. Vincent and the Grenadines,22.8,,,,,,,,,,18.7,,,,,,,,,,,,,,,,,,,,,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,21.6,,,,,,,,,,31,,,,,,,23.6,,,25.9,,,29.1,,,,,,,,,,,,31.4,23,,28.3,,,,,,,,
Suriname,,,,,19,,,,,,,,,,,,,,,,20.6,,,,,,,38.8,,36.6,43.9,,38.6,31.7,33.7,32.6,,,,33.1,,,,,,,,,,50,47.7,49.3,50,48.4,50.4,47.6,,,,
Sweden,,,,,,37.3,,,,,,,,,,53.1,53.6,,,,,,66.2,66.8,67.4,68.1,80.5,81.2,,82.2,71.2,70.6,69.3,67.6,66.8,66.2,57.4,56.5,55,56.4,56.5,58.6,58.7,58.9,58.6,58.8,59.2,59.7,59.8,59.4,67.1,67.9,68.3,68.7,69.1,69.5,69.7,70.2,70.6,71
Switzerland,35.3,,,,,,,,,,41.5,,,,,,,,31.7,32,42.1,,,,,37.4,37.5,,38.5,39.1,49.3,56.8,57.1,56.9,56.2,55.8,57,57,58.2,58.2,57.6,58.8,59.3,59.5,59.1,59.3,59.8,59.9,61.3,61.6,60,60.5,60.8,61.1,61.9,62.3,62.8,62.6,62.9,63
Syria,7.88,,,,,,,,,,8.63,,,,,,,,,,,7.14,,11.9,12.1,,,,,8.25,,10.2,,19.5,,20.2,,11.3,16.7,20,20.6,21.3,23.5,18.8,,,15,14.1,14.7,13,12.9,14.8,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,,,,,,,44.4,52.3,,,,,29.1,,,,,,,32.6,,,
Tanzania,,,,,,,,,,,,,,,,,,,82.1,,,,,,,,,,,,,,,,,,,,,,,84.4,,,,,87.2,,,,,80.9,,74,80.1,,,,,
Thailand,,,,,,,,,,,,,,,,,43.7,,75.3,72,76.6,,78.4,,76.3,,,76.2,76.5,76.8,76.3,,,,65.2,,66.9,67.4,65.8,64.2,64.9,65,,65,65.1,66.3,65.1,66,65.8,64.7,63.7,65.9,65.3,62.1,61.5,61.1,60.2,59.4,59.7,59
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,,,54.8,,,,,,26.8,,,21.3,,,61.4,,,
Togo,38.9,,,,,,,,,,30.9,,,,,,,,,,54.7,50.7,,,,,,,,,,,,,,,,,,,,,,,,,81.1,,,,,76.4,,,63,61.2,,55.9,,
Tonga,,,,,,,5.38,,,,,,,,,,13.5,,,,,,,,18.7,,17.9,,,,36,,,,45.4,,,,,,,,,34.2,,,,,,,,,,,,,,,38.4,
Trinidad and Tobago,30.6,,,,,,,,,,25.6,19.7,,,23.1,,,,23.8,37.3,30.3,37.4,,38.3,,39.5,39,39.6,42.3,41.2,37.9,45,44.2,43.5,44.3,45,46.8,45.9,47,46.6,47,46.8,47.5,48.9,50.8,52.4,53.1,51.7,52.5,51.1,49.7,48.4,50.8,50.4,51.2,49.4,49.6,,,
Tunisia,,,,,,,5.52,,,,,,,,,19.5,,,,,19.5,,,,21.9,,,,,20.3,,,,,22.9,,,23.7,,,,,,17.5,,23.6,24.4,24.5,24.7,24.8,24.8,24.9,25.8,25.6,,26,26.6,26.5,,
Turkey,65.4,,,,,56.7,,,,,50.9,,,,,47.4,,,,,46.2,,,,,44.3,,,36,37.4,34.2,34.1,32.7,26.8,31.3,30.9,30.6,28.8,29.3,30,26.6,27.1,27.9,26.6,23.3,23.3,23.1,23.1,24,25.5,27.1,28.4,29,30.3,30.2,31.4,32.4,33.5,34.1,34.3
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,38.3,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,80,37.4,,71.4,,,,,,,65.7,83.8,,,,41.8,,
Ukraine,,,,,,,,,,,47.3,,,,,,,,,48.8,,,,,,,,,,53.5,,,,,,64.9,,,64.4,54,,58,58.1,57.9,57.6,57,56.8,57.1,57.5,58.1,,58.5,58.6,,56.1,56.2,55.9,55.7,56.8,49.2
United Arab Emirates,,,,,,,,,,,,,,,,10.2,,,,,15.8,,,,,,,,,,,,,,,31.3,,,,,,,,,,37.8,,,41.8,42.1,,,,,,,51.2,52.6,49.6,57.5
United Kingdom,,37.6,,,,,41.9,,,,,42.6,,,,,,,35.4,35.9,35.9,44.5,,45.6,47.2,48.7,49.2,50,50.6,52.1,52.5,52.3,52.4,52.5,52.5,52.5,52.9,53.3,53.3,53.8,54.2,54.1,54.6,54.6,54.9,55.4,55.9,55.7,56,56.1,56.1,56.2,56.4,56.8,57,57.2,57.5,57.8,58,58.5
United States,37.7,38.1,37.9,38.3,38.7,39.3,40.3,41.1,41.6,42.7,43.3,43.4,43.9,44.7,45.7,46.3,47.3,48.4,50,50.9,51.5,52.1,52.6,52.9,53.6,54.5,55.3,56,56.6,57.4,57.5,57.4,57.8,57.9,58.9,59,59.3,59.9,59.8,60,59.9,59.8,59.6,59.5,59.2,59.3,59.4,59.3,59.5,59.2,58.6,58.1,57.7,57.2,57,56.7,56.8,57,57.1,57.4
Uruguay,,,,27.1,,,,,,,,,,,,29.3,,,,,,,,,40.9,32.5,,,,,37.9,43.8,45,44,45.5,46.7,47.1,,49.6,48.8,49.3,51.6,50,49.7,49.4,50.2,51.9,53.8,54.7,55.4,55.1,56.9,56.6,55.4,56.9,56.3,56.4,56.1,56,52.8
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,33.2,37.2,37.5,38.1,,,67.5,66.6,64.9,65.3,66.3,67.1,67.9,68.6,69.9,,
Vanuatu,,,,,,,,,,,,,,,,,,,,78.1,,,,,,,,,,79.3,,,,,,,,,,37.7,,,,,,,74,,,60.2,58.1,,,,,,,,,
Venezuela,,20.2,,,,,,,,,,22.6,,,,,,29.9,,29.9,,29.6,29.1,29.2,31,30.7,30.9,31.4,32.1,34.8,37.3,38.8,37.9,36.2,37.3,41.2,43.3,46.2,47.6,,,52.5,54.7,,,49.3,49.9,49.6,49.6,49.9,49.5,49.5,49.4,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6,,,,,,,72.6,70.8,70.3,70.4,68.8,69.6,69,68.5,67.6,,,70.5,,71.5,71.6,71.6,71.7,72.6,72.7,72.5,72,71.4,70.4,63.8
Yemen,,,,,,,,,,,,,,9.44,,,,,,,,,,,,,,,,,,,,,16.9,,,,,21.8,,,,,9.6,10.8,10.6,10.4,10.2,9.93,9.97,,,,6.04,,,,,
Zambia,,,,,,,,,,16.4,,,,,,,,,,,39,,,,,,,,,,31.9,55.8,,,,,,,57,,44.9,,,,,,,,,,59.1,,,,,,,27.8,24.8,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,48.1,,,,,66.2,,,,,,,,,,67.6,,64.5,,,,,77.5,,,,,,,77.5,58.1,,80.3,,,,,34.6
